Date,spot,risk_free,raw_rows,put_iv_ew,call_iv_ew,atm_put_iv_ew,delta_put_iv_ew,delta_call_iv_ew,put_iv_qw,call_iv_qw,atm_put_iv_qw,n_put,n_call,n_delta_put,n_delta_call,vs_ew,vs_qw,vs_delta_ew,atm_cp_ew,atm_cp_qw,log_ret_1d,rf_1d,excess_1d,log_ret_5d,rf_5d,excess_5d,log_ret_10d,rf_10d,excess_10d,log_ret_21d,rf_21d,excess_21d,next_year
2019-12-18,3191.14,0.0172647261904761,1208,0.2221289950738916,0.12130488749999999,0.10556227443609022,0.14266411,0.11334525806451613,0.19950298380761455,0.1306414771732453,0.10360801781981692,406,320,200,31,0.10082410757389162,0.06886150663436924,0.029318851935483878,0.01574261306390977,0.027033459353428393,0.004449308599583262,6.851081821617501e-05,0.004380797781367087,0.015167331913032992,0.0003462202278861826,0.014821111685146809,0.01360433929860125,0.0006897527925120322,0.012914586506089218,0.03982448670196751,0.0014163022523098379,0.03840818444965767,2019
2019-12-19,3205.37,0.0172916524999999,1207,0.22418185131894486,0.11255307278481014,0.10401273591549295,0.14138880303030305,0.10540581481481481,0.2050026485092705,0.1229920844927128,0.10314496823301737,417,316,198,27,0.11162877853413472,0.0820105640165577,0.03598298821548823,0.008540336869317183,0.01984711625969543,0.004932641459037748,6.861766865079326e-05,0.004864023790386954,0.010751974297491352,0.00034804231443191227,0.01040393198305944,0.012682197057340592,0.0006877522089897345,0.011994444848350857,0.03566422416207934,0.0014132656837329127,0.03425095847834642,2019
2019-12-20,3221.22,0.0171761747368421,1246,0.22641088625592418,0.113760684375,0.10353980072463768,0.14086181025641026,0.10545385714285714,0.20372929605527154,0.12253475118733552,0.1036705957295019,422,320,195,28,0.11265020188092417,0.08119454486793602,0.03540795311355312,0.01022088365036232,0.018864155457833626,0.00086575659030548,6.815942355889722e-05,0.0007975971667465828,2.17306608769034e-05,0.0003491139881847469,-0.0003273833273078435,0.004942410655412858,0.0006862807807017528,0.004256129874711106,0.03187189715018696,0.0014099527410836308,0.030461944409103332,2019
2019-12-23,3224.01,0.0177392714285714,1050,0.2248173333333333,0.11179089534883721,0.10849097211155379,0.14932023976608186,0.10473847826086956,0.20916531487152484,0.12194192086472179,0.10829093848302068,333,258,171,23,0.1130264379844961,0.08722339400680305,0.0445817615052123,0.0032999232372834253,0.013650982381701107,-0.00019542791796535865,7.03939342403627e-05,-0.0002658218522057213,0.0020976677730651567,0.0003491414274376409,0.0017485263456275158,0.008967091423844343,0.0006856379943310639,0.00828145342951328,0.021922871769944934,0.0014070744683183844,0.02051579730162655,2019
2019-12-24,3223.38,0.0177756725714285,1064,0.22372844444444442,0.11305986328125,0.10842336625514404,0.14819788622754493,0.10620391666666668,0.2025073593287064,0.12291682926929814,0.10946051157361952,333,256,167,24,0.11066858116319442,0.07959053005940825,0.04199396956087825,0.004636497026105968,0.013456317695678621,0.005115053182071611,7.053838321995437e-05,0.005044514798851657,0.010636970145723538,0.00034711143650793574,0.010289858709215602,0.01579576337938517,0.0006813124595616004,0.01511445091982357,0.006262574569526692,0.0014017778711707535,0.004860796698355939,2019
2019-12-26,3239.91,0.017723892,1064,0.2245727359050445,0.10898302325581395,0.10981276744186046,0.14652801242236024,0.10162027272727273,0.2044765866002224,0.11747151006995937,0.11379523355591702,337,258,161,22,0.11558971264923056,0.08700507653026301,0.04490773969508752,-0.0008297441860465049,0.0036762765140423564,3.395098404170214e-05,7.033290476190476e-05,-3.6381920720202624e-05,-0.0015629926144316453,0.0003435325646258496,-0.001906525179057495,0.007821402892267364,0.0006766433818972015,0.0071447595103701625,0.01115087174004435,0.0013971052291639509,0.0097537665108804,2019
2019-12-27,3240.02,0.0175617142857142,1123,0.22860872106824925,0.11860430384615385,0.11309415789473684,0.15325206707317074,0.112890375,0.21046321285620329,0.12905605410826315,0.11637369894256763,337,260,164,24,0.1100044172220954,0.08140715874794013,0.04036169207317074,0.005510145951417009,0.012682355165695519,-0.0057976021775765895,6.968934240362778e-05,-0.005867291519980217,0.0019302227598492576,0.00033970989455782224,0.0015905128652914354,0.014739511500541765,0.000671853357426302,0.014067658143115462,0.010249697464954247,0.0013925975894247215,0.008857099875529526,2019
2019-12-30,3221.29,0.0171830894285714,1131,0.23927150599520383,0.125900353125,0.12926035,0.173084192139738,0.12316059375,0.21924908133939186,0.1367710399797294,0.13233614706540908,417,320,229,32,0.11337115287020383,0.08247804135966247,0.04992359838973799,-0.003359996874999993,0.00443489291432031,0.0029416937024937355,6.818686281179127e-05,0.0028735068396819443,0.004920679994536088,0.0003371667925170059,0.004583513202019082,0.019021426946345614,0.0006684579237528329,0.018352969022592782,0.019176753505519718,0.0013886219261594157,0.0177881315793603,2019
2019-12-31,3230.78,0.0172277137142857,1126,0.2357016937799043,0.11733564923076924,0.12411148,0.16328262616822428,0.11341544827586207,0.21647179445685705,0.12940821345117948,0.12489160290515776,418,325,214,29,0.11836604454913506,0.08706358100567757,0.04986717789236221,-0.006775830769230759,0.004516610546021718,0.008343874454693168,6.836394331065753e-05,0.00827551051138251,0.006869423650779152,0.00033649656689342303,0.006532927083885729,0.017948141867195004,0.0006662066528722583,0.017281935214322745,-0.0016294165896177356,0.0013863015230981908,-0.0030157181127159266,2019
2020-01-02,3257.85,0.0168737968571428,1273,0.22386394688221709,0.10956582926829268,0.10976629102167183,0.14568426455026456,0.1038946923076923,0.20170952847282977,0.12080542813796093,0.10993705951798259,433,328,189,26,0.1142981176139244,0.08090410033486885,0.041789572242572265,-0.00020046175337914973,0.010868368619978336,-0.007084909578083601,6.695951133786825e-05,-0.007151869089421469,0.005158793233661715,0.0003342010230536647,0.00482459221060805,0.01793600904470323,0.000663480593159484,0.017272528451543746,-0.0027448351814003263,0.0013838717096061276,-0.004128706891006454,2020
